Hari;Tanggal;Jam;Tempat
Senin;03/07/2022;06.00;Palmerah
Senin;03/07/2022;07.30;Ciputat
Senin;03/07/2022;15.00;Bintaro
Senin;03/07/2022;19.00;Palmerah
Selasa;04/07/2022;06.30;Palmerah
Selasa;04/07/2022;08.00;Ciputat
Selasa;04/07/2022;14.30;Condet
Selasa;04/07/2022;19.00;Sudirman
Selasa;04/07/2022;21.00;Palmerah
Rabu;05/07/2022;06.00;Palmerah
Rabu;05/07/2022;07.30;Ciputat
Rabu;05/07/2022;16.30;Pondok Cabe
Rabu;05/07/2022;18.30;Cinere
Rabu;05/07/2022;21.00;Pondok Cabe
Rabu;05/07/2022;23.00;Palmerah
Kamis;06/07/2022;06.15;Palmerah
Kamis;06/07/2022;09.00;Ciputat
Kamis;06/07/2022;17.00;Bintaro
Kamis;06/07/2022;20.00;Tangerang
Jum'at;07/07/2022;05.00;Tangerang
Jum'at;07/07/2022;07.15;Ciputat
Jum'at;07/07/2022;15.50;Bintaro
Jum'at;07/07/2022;16.30;Ciputat
Jum'at;07/07/2022;18.00;Pamulang
Jum'at;07/07/2022;21.00;Ciputat
Jum'at;07/07/2022;23.00;Palmerah
Sabtu;08/07/2022;09.00;Palmerah
Sabtu;08/07/2022;10.00;Condet
Sabtu;08/07/2022;17.00;Cawang
Sabtu;08/07/2022;21.00;Palmerah
Minggu;09/07/2022;13.00;Palmerah
Minggu;09/07/2022;15.00;Pondok Cabe
Minggu;09/07/2022;20.00;Ciputat
Minggu;09/07/2022;21.00;Palmerah
Senin;10/07/2022;06.00;Palmerah
Senin;10/07/2022;07.30;Ciputat
Senin;10/07/2022;15.00;Bintaro
Senin;10/07/2022;19.00;Palmerah
Selasa;11/07/2022;06.30;Palmerah
Selasa;11/07/2022;08.00;Ciputat
Selasa;11/07/2022;14.30;Condet
Selasa;11/07/2022;19.00;Sudirman
Selasa;11/07/2022;21.00;Palmerah
Rabu;12/07/2022;06.00;Palmerah
Rabu;12/07/2022;07.30;Ciputat
Rabu;12/07/2022;16.30;Pondok Cabe
Rabu;12/07/2022;18.30;Cinere
Rabu;12/07/2022;21.00;Pondok Cabe
Rabu;12/07/2022;23.00;Palmerah
Kamis;13/07/2022;06.15;Palmerah
Kamis;13/07/2022;09.00;Ciputat
Kamis;13/07/2022;17.00;Bintaro
Kamis;13/07/2022;20.00;Tangerang
Jum'at;14/07/2022;05.00;Tangerang
Jum'at;14/07/2022;07.15;Ciputat
Jum'at;14/07/2022;15.50;Bintaro
Jum'at;14/07/2022;16.30;Ciputat
Jum'at;14/07/2022;18.00;Pamulang
Jum'at;14/07/2022;21.00;Ciputat
Jum'at;14/07/2022;23.00;Palmerah
Sabtu;15/07/2022;09.00;Palmerah
Sabtu;15/07/2022;10.00;Condet
Sabtu;15/07/2022;17.00;Cawang
Sabtu;15/07/2022;21.00;Palmerah
Minggu;16/07/2022;13.00;Palmerah
Minggu;16/07/2022;15.00;Pondok Cabe
Minggu;16/07/2022;20.00;Ciputat
Minggu;16/07/2022;21.00;Palmerah
